id,jam_datang,jam_pesan,selesai_pesan,makanan_datang
1,11:32,11:33,11:33,11:40
2,11:33,11:33,11:37,11:42
3,11:36,11:36,11:38,11:46
4,11:36,11:38,11:41,11:50
5,11:36,11:38,11:43,11:55
6,11:40,11:43,11:46,11:57
7,11:41,11:46,11:53,12:01
8,11:56,11:56,11:59,12:09
9,11:59,11:59,12:05,12:15
10,12:04,12:05,12:08,12:17
11,12:06,12:08,12:11,12:20
12,12:07,12:11,12:16,12:23
13,12:07,12:16,12:19,12:25
14,12:14,12:19,12:21,12:48
15,12:14,12:21,12:22,12:49
16,12:14,12:22,12:23,12:50
17,12:18,12:23,12:25,12:50
18,12:22,12:25,12:31,12:51
19,12:26,12:31,12:34,12:52
20,12:28,12:34,12:38,12:56
21,12:35,12:38,12:40,13:02
22,12:40,12:40,12:43,12:59
23,12:42,12:46,12:53,13:08
24,12:44,12:53,12:55,13:12
25,12:46,12:55,12:58,13:16
26,12:50,12:58,13:00,13:18
27,12:51,13:00,13:02,13:20
28,12:55,13:03,13:07,13:22
29,13:06,13:08,13:10,13:30
30,13:07,13:10,13:12,13:31
31,13:09,13:12,13:14,13:31
32,13:12,13:14,13:15,13:32
33,13:14,13:15,13:16,13:37
34,13:15,13:26,13:27,13:41
35,13:17,13:20,13:25,13:38
36,13:25,13:27,13:33,13:42
37,13:28,13:33,13:37,13:45
38,13:40,13:40,13:43,13:46
39,13:42,13:43,13:48,13:52
40,13:52,13:54,13:58,14:10
41,13:55,13:58,14:02,14:16
42,14:02,14:03,14:07,14:20
43,14:05,14:07,14:10,14:25
44,14:09,14:10,14:14,14:27
45,14:10,14:14,14:15,14:28
46,14:11,14:15,14:19,14:29
47,14:13,14:19,14:21,14:31
48,14:17,14:21,14:23,14:32
49,14:19,14:23,14:27,14:45
50,14:19,14:27,14:29,14:47
51,14:25,14:29,14:30,14:52
